"filename", "language", "Python", "Markdown", "Database", "HTML", "JSON", "JavaScript", "CSS", "Ini", "comment", "blank", "total"
"c:\Users\brian\OneDrive\Desktop\aa\last\README.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 0, 0, 44, 148
"c:\Users\brian\OneDrive\Desktop\aa\last\app\__init__.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 16, 18, 97
"c:\Users\brian\OneDrive\Desktop\aa\last\app\api\auth_routes.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 21, 13, 84
"c:\Users\brian\OneDrive\Desktop\aa\last\app\api\exercise_routes.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 5, 7, 87
"c:\Users\brian\OneDrive\Desktop\aa\last\app\api\story_routes.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 5, 8, 98
"c:\Users\brian\OneDrive\Desktop\aa\last\app\api\topic_routes.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Users\brian\OneDrive\Desktop\aa\last\app\api\user_routes.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 6, 5, 25
"c:\Users\brian\OneDrive\Desktop\aa\last\app\config.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\brian\OneDrive\Desktop\aa\last\app\forms\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\brian\OneDrive\Desktop\aa\last\app\forms\login_form.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 2, 6, 28
"c:\Users\brian\OneDrive\Desktop\aa\last\app\forms\signup_form.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 2, 7, 29
"c:\Users\brian\OneDrive\Desktop\aa\last\app\models\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\brian\OneDrive\Desktop\aa\last\app\models\db.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\brian\OneDrive\Desktop\aa\last\app\models\exercise.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\brian\OneDrive\Desktop\aa\last\app\models\story.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\brian\OneDrive\Desktop\aa\last\app\models\topic.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\brian\OneDrive\Desktop\aa\last\app\models\user.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\brian\OneDrive\Desktop\aa\last\app\seeds\__init__.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 14, 21, 127
"c:\Users\brian\OneDrive\Desktop\aa\last\app\seeds\users.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 7, 6, 32
"c:\Users\brian\OneDrive\Desktop\aa\last\instance\dev.db", "Database", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 88
"c:\Users\brian\OneDrive\Desktop\aa\last\migrations\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 45
"c:\Users\brian\OneDrive\Desktop\aa\last\migrations\env.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 34, 19, 106
"c:\Users\brian\OneDrive\Desktop\aa\last\migrations\versions\20230426_093003_create_tables.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 12, 7, 80
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\package-lock.json", "JSON", 0, 0, 0, 0, 41973, 0, 0, 0, 0, 1, 41974
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\package.json", "JSON", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 42
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\public\index.html", "HTML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\public\manifest.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 5, 84
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\AllExercise\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\AllExercise\index.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 8, 81
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\AllStory\index.css", "CSS", 0, 0, 0, 0, 0, 0, 79, 0, 0, 14, 93
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\AllStory\index.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 8, 81
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CElanding\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CElanding\index.js", "JavaScript", 0, 0, 0, 0, 0, 56, 0, 0, 7, 9, 72
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CSlanding\index.css", "CSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CSlanding\index.js", "JavaScript", 0, 0, 0, 0, 0, 56, 0, 0, 7, 9, 72
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CreateExerciseModal\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CreateExerciseModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 100, 0, 0, 0, 9, 109
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CreateStoryModal\index.css", "CSS", 0, 0, 0, 0, 0, 0, 48, 0, 0, 6, 54
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\CreateStoryModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 8, 112
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\DeleteExerciseModal\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\DeleteExerciseModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\DeleteStoryModal\index.css", "CSS", 0, 0, 0, 0, 0, 0, 36, 0, 0, 7, 43
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\DeleteStoryModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\EditExerciseModal\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\EditExerciseModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 91, 0, 0, 0, 10, 101
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\EditStoryModal\index.css", "CSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\EditStoryModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 97, 0, 0, 0, 10, 107
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\InnerNav\index.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\InnerNav\index.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\LoginFormModal\LoginForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\LoginFormModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 5, 58
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\LoginFormPage\LoginForm.css", "CSS", 0, 0, 0, 0, 0, 0, 111, 0, 0, 17, 128
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\LoginFormPage\index.js", "JavaScript", 0, 0, 0, 0, 0, 83, 0, 0, 0, 7, 90
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\Navigation\Navigation.css", "CSS", 0, 0, 0, 0, 0, 0, 76, 0, 0, 13, 89
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\Navigation\ProfileButton.js", "JavaScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 13, 93
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\Navigation\index.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\OpenModalButton\index.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SignupFormModal\SignupForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SignupFormModal\index.js", "JavaScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 5, 85
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SignupFormPage\SignupForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SignupFormPage\index.js", "JavaScript", 0, 0, 0, 0, 0, 143, 0, 0, 0, 9, 152
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SingleExercise\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SingleExercise\index.js", "JavaScript", 0, 0, 0, 0, 0, 116, 0, 0, 0, 16, 132
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SingleStory\index.css", "CSS", 0, 0, 0, 0, 0, 0, 108, 0, 0, 17, 125
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\SingleStory\index.js", "JavaScript", 0, 0, 0, 0, 0, 118, 0, 0, 0, 15, 133
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\auth\ProtectedRoute.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\footer\index.css", "CSS", 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\footer\index.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\loginlanding\index.css", "CSS", 0, 0, 0, 0, 0, 0, 86, 0, 0, 12, 98
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\components\loginlanding\index.js", "JavaScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 8, 87
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\context\Modal.css", "CSS", 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\context\Modal.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 6, 8, 59
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 27, 0, 2, 5, 34
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 3, 6, 41
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\store\exercise.js", "JavaScript", 0, 0, 0, 0, 0, 123, 0, 0, 0, 17, 140
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\store\index.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\store\session.js", "JavaScript", 0, 0, 0, 0, 0, 96, 0, 0, 1, 12, 109
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\store\story.js", "JavaScript", 0, 0, 0, 0, 0, 145, 0, 0, 3, 21, 169
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\store\topic.js", "JavaScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 14, 113
"c:\Users\brian\OneDrive\Desktop\aa\last\react-app\src\store\user.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 35
"Total", "-", 751, 108, 88, 15, 42030, 2246, 692, 34, 158, 602, 46724